report_id,date,site,report_type,text
R11-00041,2026-02-11,Baghewala (Rajasthan),Incident,"Incident report: Worker not wearing safety glasses while cleaning at oil collecting station, counselled. Supervisor informed."
R11-00042,2026-03-31,Baghewala (Rajasthan),UA,Unsafe act observed: Welding carried out near open drain at tank farm without hot work permit and gas test; flammable vapour present nearby.
R11-00043,2025-10-12,Moran,UC,"Unsafe condition: Alarm test log at compressor house filled late, corrected."
R11-00044,2026-07-05,Moran,UC,"Unsafe condition: Waste bin overflowing at compressor house, cleared by housekeeping. Reported during morning inspection."
R11-00045,2026-01-08,Baghewala (Rajasthan),Near Miss,"Near miss: Lifting sling at oil collecting station had expired colour code tag, removed from service."
R11-00046,2026-05-11,Tinsukia,Near Miss,"Near miss: Water spill on floor near canteen at workshop, mopped, employee slipped but no injury. Area secured."
R11-00047,2026-04-03,Moran,UA,"Unsafe act observed: LOTO tag found with faded ink at CPF; tag replaced the same day, isolation was properly verified."
R11-00048,2025-10-13,Jorhat,UA,"Unsafe act observed: Small tool dropped from table at drill site, landed on floor, no one nearby. Area secured."
R11-00049,2025-12-20,Jorhat,UA,"Unsafe act observed: Worker not wearing safety glasses while cleaning at CPF, counselled. Reported during night shift."
R11-00050,2026-03-17,Tinsukia,Incident,"Incident report: Cutting torch used on pipeline at rig floor while gas test not done, LEL not checked. Area secured."
R11-00051,2026-05-21,Moran,UC,"Unsafe condition: Water spill on floor near canteen at GGS, mopped, employee slipped but no injury."
R11-00052,2026-07-19,Naharkatia,Near Miss,"Near miss: Water spill on floor near canteen at rig floor, mopped, employee slipped but no injury."
R11-00053,2026-03-18,Jorhat,UC,"Unsafe condition: Water spill on floor near canteen at workshop, mopped, employee slipped but no injury. Reported during night shift."
R11-00054,2026-05-29,Kharsang,UA,"Unsafe act observed: Gas detector at pipeline ROW calibration due next week, scheduled. Crew of four involved."
R11-00055,2026-09-03,Tinsukia,Near Miss,"Near miss: Minor cut on finger while opening a box at pipeline ROW, first aid given. Reported during morning inspection."
R11-00056,2026-07-22,Duliajan,UC,"Unsafe condition: Lifting plan not prepared for wellhead equipment at rig floor; crane outside load chart, outrigger not fully extended."
R11-00057,2025-11-20,Jorhat,UC,Unsafe condition: Fire extinguisher at welding bay workshop found past inspection date; replaced. Supervisor informed.
R11-00058,2026-04-16,Naharkatia,Incident,"Incident report: Small tool dropped from table at rig floor, landed on floor, no one nearby. Supervisor informed."
R11-00059,2026-02-23,Duliajan,Incident,"Incident report: Confined space permit at drill site filled with wrong date, corrected before entry."
R11-00060,2026-02-03,Jorhat,Near Miss,"Near miss: Welder at wellhead not wearing welding gloves, spoken to and corrected. Supervisor informed."
R11-00061,2025-11-07,Jorhat,Incident,"Incident report: Minor cut on finger while opening a box at wellhead, first aid given."
R11-00062,2026-02-03,Duliajan,UA,"Unsafe act observed: Confined space permit at drill site filled with wrong date, corrected before entry. Reported during night shift."
R11-00063,2025-12-03,Duliajan,Near Miss,"Near miss: Water spill on floor near canteen at compressor house, mopped, employee slipped but no injury. Reported during night shift."
R11-00064,2026-02-26,Duliajan,Near Miss,"Near miss: Toolbox talk record at compressor house incomplete, corrected. Reported during night shift."
R11-00065,2026-08-21,Duliajan,Near Miss,"Near miss: Fire and gas alarm disabled at tank farm during maintenance and not reinstated, safety critical device override. Reported during morning inspection."
R11-00066,2026-02-16,Duliajan,UA,"Unsafe act observed: Lifting sling at wellhead had expired colour code tag, removed from service. Supervisor informed."
R11-00067,2026-07-09,Duliajan,UA,"Unsafe act observed: Contractor descended into sump at rig floor with no gas test, rescue equipment not available, attendant absent. Reported during night shift."
R11-00068,2026-05-18,Tinsukia,UC,"Unsafe condition: Stacked pipes untidy at rig floor store, rearranged. Area secured."
R11-00069,2025-12-18,Jorhat,Incident,"Incident report: Welder at GGS not wearing welding gloves, spoken to and corrected."
R11-00070,2026-05-25,Tinsukia,Incident,"Incident report: Ladder at pipeline ROW had a loose rung, tagged out and fixed, nobody was using it. Area secured."
R11-00071,2025-11-08,Duliajan,Incident,"Incident report: Lifting plan not prepared for wellhead equipment at tank farm; crane outside load chart, outrigger not fully extended. Supervisor informed."
R11-00072,2026-04-02,Tinsukia,Near Miss,"Near miss: Toolbox talk record at GGS incomplete, corrected. Reported during morning inspection."
R11-00073,2026-05-23,Naharkatia,Incident,"Incident report: Welder at compressor house not wearing welding gloves, spoken to and corrected. Crew of four involved."
R11-00074,2026-09-12,Moran,Near Miss,"Near miss: Minor cut on finger while opening a box at wellhead, first aid given."
R11-00075,2026-05-21,Moran,UC,"Unsafe condition: Permit copy at GGS not displayed at job site, displayed after reminder. Area secured."
R11-00076,2025-11-02,Naharkatia,Near Miss,Near miss: Worker entered tank at wellhead without confined space entry permit; oxygen level not tested and no standby person.
R11-00077,2026-08-21,Naharkatia,Near Miss,"Near miss: Water spill on floor near canteen at rig floor, mopped, employee slipped but no injury. Supervisor informed."
R11-00078,2026-03-29,Duliajan,Near Miss,"Near miss: Crane operator log book at drill site not signed for one day, corrected."
R11-00079,2025-10-02,Tinsukia,UA,"Unsafe act observed: Small tool dropped from table at workshop, landed on floor, no one nearby."
R11-00080,2026-05-04,Baghewala (Rajasthan),UA,"Unsafe act observed: Reverse horn not working on van at rig floor, fixed the same day."
R11-00081,2026-05-06,Duliajan,Near Miss,"Near miss: Contractor started excavation near live gas line at CPF without work permit; no toolbox talk, underground drawing not checked."
R11-00082,2026-05-23,Naharkatia,UC,"Unsafe condition: Entry log at GGS tank found untidy, updated by supervisor. Supervisor informed."
R11-00083,2026-08-04,Moran,UC,"Unsafe condition: Minor cut on finger while opening a box at oil collecting station, first aid given. Reported during morning inspection."
R11-00084,2026-08-17,Jorhat,Incident,"Incident report: Grinding sparks fell close to condensate tank at GGS, no fire watch, no fire blanket. Crew of four involved."
R11-00085,2026-04-23,Baghewala (Rajasthan),UA,"Unsafe act observed: Welder at drill site not wearing welding gloves, spoken to and corrected. Reported during morning inspection."
R11-00086,2026-05-30,Tinsukia,UA,"Unsafe act observed: Worker found standing close to moving forklift at CPF but at safe distance, coached. Supervisor informed."
R11-00087,2026-02-10,Moran,UC,"Unsafe condition: Worker at pipeline ROW climbed a 1 m step stool without helmet, advised. Reported during night shift."
R11-00088,2025-10-01,Baghewala (Rajasthan),UA,"Unsafe act observed: Lifting plan not prepared for wellhead equipment at GGS; crane outside load chart, outrigger not fully extended. Reported during night shift."
R11-00089,2025-11-12,Tinsukia,UA,"Unsafe act observed: Waste bin overflowing at drill site, cleared by housekeeping."
R11-00090,2026-01-15,Jorhat,UC,"Unsafe condition: Entry log at rig floor tank found untidy, updated by supervisor."
R11-00091,2026-07-12,Moran,Near Miss,"Near miss: Reverse horn not working on van at workshop, fixed the same day. Area secured."
R11-00092,2026-08-31,Moran,Incident,"Incident report: Confined space permit at drill site filled with wrong date, corrected before entry. Area secured."
R11-00093,2026-08-12,Baghewala (Rajasthan),Incident,"Incident report: Water spill on floor near canteen at wellhead, mopped, employee slipped but no injury. Reported during morning inspection."
R11-00094,2026-01-11,Jorhat,UA,"Unsafe act observed: Crane operator log book at tank farm not signed for one day, corrected. Reported during morning inspection."
R11-00095,2025-11-22,Duliajan,Incident,"Incident report: Entry log at workshop tank found untidy, updated by supervisor. Area secured."
R11-00096,2025-11-21,Duliajan,UA,"Unsafe act observed: Stacked pipes untidy at drill site store, rearranged. Area secured."
R11-00097,2026-08-28,Duliajan,Near Miss,"Near miss: Crane lifted heavy skid at workshop with damaged sling, no banksman, load tilted and personnel beneath the load. Reported during night shift."
R11-00098,2026-02-03,Duliajan,Incident,"Incident report: Lifting sling at oil collecting station had expired colour code tag, removed from service."
R11-00099,2026-07-13,Jorhat,Near Miss,"Near miss: Contractor descended into sump at drill site with no gas test, rescue equipment not available, attendant absent. Area secured."
R11-00100,2026-07-08,Jorhat,Near Miss,"Near miss: Permit copy at compressor house not displayed at job site, displayed after reminder. Crew of four involved."
R11-00101,2026-08-18,Jorhat,UC,"Unsafe condition: Waste bin overflowing at oil collecting station, cleared by housekeeping. Supervisor informed."
R11-00102,2026-04-03,Baghewala (Rajasthan),Near Miss,"Near miss: Contractor descended into sump at pipeline ROW with no gas test, rescue equipment not available, attendant absent. Area secured."
R11-00103,2025-12-26,Tinsukia,UA,"Unsafe act observed: Waste bin overflowing at compressor house, cleared by housekeeping. Crew of four involved."
R11-00104,2026-07-21,Tinsukia,Near Miss,"Near miss: Water spill on floor near canteen at pipeline ROW, mopped, employee slipped but no injury. Reported during morning inspection."
R11-00105,2026-09-09,Duliajan,UC,"Unsafe condition: Alarm test log at GGS filled late, corrected. Crew of four involved."
R11-00106,2025-10-17,Tinsukia,UC,"Unsafe condition: Ladder at workshop had a loose rung, tagged out and fixed, nobody was using it."
R11-00107,2025-10-28,Moran,UC,"Unsafe condition: Welder at oil collecting station not wearing welding gloves, spoken to and corrected."
R11-00108,2026-08-16,Duliajan,Incident,"Incident report: Confined space permit at pipeline ROW filled with wrong date, corrected before entry."
R11-00109,2026-07-17,Jorhat,Incident,"Incident report: Welder at workshop not wearing welding gloves, spoken to and corrected. Area secured."
R11-00110,2026-08-12,Tinsukia,Near Miss,"Near miss: Ladder at wellhead had a loose rung, tagged out and fixed, nobody was using it. Crew of four involved."
R11-00111,2026-05-17,Kharsang,UA,"Unsafe act observed: Waste bin overflowing at CPF, cleared by housekeeping. Area secured."
R11-00112,2025-11-05,Baghewala (Rajasthan),Near Miss,"Near miss: Worker not wearing safety glasses while cleaning at workshop, counselled. Reported during morning inspection."
R11-00113,2025-11-06,Kharsang,UC,"Unsafe condition: Small tool dropped from table at workshop, landed on floor, no one nearby. Area secured."
R11-00114,2026-03-03,Baghewala (Rajasthan),UA,"Unsafe act observed: Contractor descended into sump at tank farm with no gas test, rescue equipment not available, attendant absent. Reported during morning inspection."
R11-00115,2025-10-24,Duliajan,Near Miss,"Near miss: Lifting sling at oil collecting station had expired colour code tag, removed from service. Reported during morning inspection."
R11-00116,2026-09-20,Moran,UC,"Unsafe condition: Stacked pipes untidy at CPF store, rearranged. Crew of four involved."
R11-00117,2026-01-07,Duliajan,UC,"Unsafe condition: Lifting sling at compressor house had expired colour code tag, removed from service. Reported during morning inspection."
R11-00118,2026-09-22,Tinsukia,Incident,"Incident report: Entry log at GGS tank found untidy, updated by supervisor."
R11-00119,2026-01-29,Baghewala (Rajasthan),UC,"Unsafe condition: LOTO tag found with faded ink at tank farm; tag replaced the same day, isolation was properly verified. Reported during night shift."
R11-00120,2026-09-07,Naharkatia,UC,"Unsafe condition: Permit copy at tank farm not displayed at job site, displayed after reminder. Reported during night shift."
R11-00121,2025-10-04,Duliajan,UA,"Unsafe act observed: Waste bin overflowing at compressor house, cleared by housekeeping. Supervisor informed."
R11-00122,2026-02-20,Naharkatia,UC,"Unsafe condition: Minor cut on finger while opening a box at CPF, first aid given. Reported during night shift."
R11-00123,2025-10-31,Duliajan,Incident,"Incident report: Entry log at wellhead tank found untidy, updated by supervisor."
R11-00124,2026-08-01,Jorhat,Near Miss,"Near miss: Confined space permit at compressor house filled with wrong date, corrected before entry. Reported during night shift."
R11-00125,2026-07-06,Duliajan,UC,"Unsafe condition: Entry log at tank farm tank found untidy, updated by supervisor."
R11-00126,2025-12-17,Jorhat,Incident,"Incident report: LOTO tag found with faded ink at GGS; tag replaced the same day, isolation was properly verified."
R11-00127,2026-07-19,Jorhat,UA,"Unsafe act observed: Small tool dropped from table at rig floor, landed on floor, no one nearby. Reported during night shift."
R11-00128,2026-07-29,Jorhat,UA,"Unsafe act observed: Stacked pipes untidy at pipeline ROW store, rearranged. Crew of four involved."
R11-00129,2026-04-29,Jorhat,Incident,"Incident report: Stacked pipes untidy at wellhead store, rearranged."
R11-00130,2026-06-25,Kharsang,UC,"Unsafe condition: Waste bin overflowing at GGS, cleared by housekeeping."
R11-00131,2026-05-30,Duliajan,UA,"Unsafe act observed: High level shutdown interlock bypassed at workshop to keep production running, no MOC and no approval; gas detector inhibited. Crew of four involved."
R11-00132,2026-07-10,Duliajan,Near Miss,"Near miss: Tanker driver near tank farm overspeeding on narrow road, seat belt not worn, vehicle overturned close to pedestrians. Area secured."
R11-00133,2025-10-21,Moran,Near Miss,"Near miss: Grinding sparks fell close to condensate tank at oil collecting station, no fire watch, no fire blanket. Reported during morning inspection."
R11-00134,2026-04-14,Jorhat,Incident,"Incident report: Lifting sling at workshop had expired colour code tag, removed from service. Reported during morning inspection."
R11-00135,2026-01-18,Duliajan,Incident,"Incident report: Confined space permit at CPF filled with wrong date, corrected before entry."
R11-00136,2026-05-03,Baghewala (Rajasthan),Incident,"Incident report: Confined space permit at CPF filled with wrong date, corrected before entry."
R11-00137,2026-07-18,Kharsang,Near Miss,"Near miss: Worker not wearing safety glasses while cleaning at compressor house, counselled."
R11-00138,2025-12-01,Kharsang,Near Miss,"Near miss: Crew stood under suspended pipe during rig floor handling at GGS; exclusion zone not barricaded, load swung close to worker. Reported during morning inspection."
R11-00139,2026-03-04,Naharkatia,Near Miss,"Near miss: Isolation register at compressor house missing one signature, corrected, no work had started. Supervisor informed."
R11-00140,2026-04-29,Duliajan,UA,Unsafe act observed: Worker entered tank at CPF without confined space entry permit; oxygen level not tested and no standby person. Crew of four involved.
R11-00141,2025-12-15,Jorhat,Near Miss,"Near miss: Lifting plan not prepared for wellhead equipment at drill site; crane outside load chart, outrigger not fully extended."
R11-00142,2026-02-27,Baghewala (Rajasthan),Near Miss,"Near miss: Waste bin overflowing at CPF, cleared by housekeeping. Area secured."
R11-00143,2026-01-19,Jorhat,UA,"Unsafe act observed: Work started on live wellhead at tank farm without permit to work, JSA not done. Area secured."
R11-00144,2026-05-07,Naharkatia,UC,"Unsafe condition: Lifting plan not prepared for wellhead equipment at tank farm; crane outside load chart, outrigger not fully extended. Area secured."
R11-00145,2026-01-12,Moran,UC,"Unsafe condition: Minor cut on finger while opening a box at GGS, first aid given."
R11-00146,2026-07-26,Duliajan,Incident,"Incident report: Minor cut on finger while opening a box at GGS, first aid given."
R11-00147,2026-02-17,Baghewala (Rajasthan),Near Miss,"Near miss: Vehicle parked wrongly at rig floor gate, moved after advice."
R11-00148,2026-03-27,Moran,UA,"Unsafe act observed: Minor cut on finger while opening a box at wellhead, first aid given. Supervisor informed."
R11-00149,2026-04-04,Naharkatia,Incident,"Incident report: Toolbox talk record at oil collecting station incomplete, corrected."
R11-00150,2025-11-02,Kharsang,Incident,Incident report: Technician started replacing pump seal at oil collecting station without lockout tagout; isolation not verified and residual pressure was released.
R11-00151,2026-03-08,Baghewala (Rajasthan),UC,"Unsafe condition: Confined space permit at compressor house filled with wrong date, corrected before entry. Crew of four involved."
R11-00152,2026-01-29,Moran,UC,"Unsafe condition: Fire and gas alarm disabled at tank farm during maintenance and not reinstated, safety critical device override. Reported during morning inspection."
R11-00153,2025-11-23,Tinsukia,Near Miss,"Near miss: LOTO tag found with faded ink at tank farm; tag replaced the same day, isolation was properly verified."
R11-00154,2026-08-15,Naharkatia,UC,"Unsafe condition: Lifting sling at GGS had expired colour code tag, removed from service."
R11-00155,2026-04-04,Baghewala (Rajasthan),Incident,"Incident report: Waste bin overflowing at CPF, cleared by housekeeping. Reported during morning inspection."
R11-00156,2026-05-20,Duliajan,UA,"Unsafe act observed: Water spill on floor near canteen at tank farm, mopped, employee slipped but no injury. Area secured."
R11-00157,2026-02-07,Jorhat,Incident,"Incident report: Scaffold at wellhead without toe boards and handrails, worker climbed to 6 metres unsecured."
R11-00158,2026-01-13,Kharsang,Near Miss,"Near miss: Welder at GGS not wearing welding gloves, spoken to and corrected."
R11-00159,2026-04-11,Baghewala (Rajasthan),UC,"Unsafe condition: Entry log at GGS tank found untidy, updated by supervisor. Reported during morning inspection."
R11-00160,2026-02-07,Naharkatia,Near Miss,"Near miss: Vehicle parked wrongly at tank farm gate, moved after advice."
R11-00161,2026-04-01,Moran,UA,"Unsafe act observed: Water spill on floor near canteen at CPF, mopped, employee slipped but no injury. Crew of four involved."
R11-00162,2025-11-04,Tinsukia,Incident,"Incident report: Waste bin overflowing at GGS, cleared by housekeeping."
R11-00163,2026-09-11,Baghewala (Rajasthan),Incident,"Incident report: Waste bin overflowing at GGS, cleared by housekeeping."
R11-00164,2025-12-01,Jorhat,Near Miss,"Near miss: Water spill on floor near canteen at drill site, mopped, employee slipped but no injury."
R11-00165,2025-11-11,Tinsukia,Near Miss,"Near miss: Stacked pipes untidy at pipeline ROW store, rearranged. Reported during morning inspection."
R11-00166,2026-03-22,Naharkatia,UA,"Unsafe act observed: Minor cut on finger while opening a box at wellhead, first aid given. Reported during night shift."
R11-00167,2026-07-13,Tinsukia,Near Miss,"Near miss: Reverse horn not working on van at compressor house, fixed the same day."
R11-00168,2025-12-30,Jorhat,UC,"Unsafe condition: Minor cut on finger while opening a box at drill site, first aid given. Supervisor informed."
R11-00169,2025-10-06,Tinsukia,Near Miss,"Near miss: Water spill on floor near canteen at rig floor, mopped, employee slipped but no injury."
R11-00170,2026-06-30,Duliajan,Incident,"Incident report: Worker not wearing safety glasses while cleaning at workshop, counselled. Crew of four involved."
R11-00171,2025-10-05,Baghewala (Rajasthan),Incident,"Incident report: Isolation register at tank farm missing one signature, corrected, no work had started. Supervisor informed."
R11-00172,2026-02-20,Duliajan,Incident,"Incident report: Crane operator log book at pipeline ROW not signed for one day, corrected. Crew of four involved."
R11-00173,2026-07-07,Jorhat,UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at wellhead, counselled. Reported during night shift."
R11-00174,2026-04-23,Duliajan,Incident,"Incident report: Worker not wearing safety glasses while cleaning at wellhead, counselled. Supervisor informed."
R11-00175,2025-11-04,Moran,UA,"Unsafe act observed: Permit copy at GGS not displayed at job site, displayed after reminder."
R11-00176,2026-02-17,Duliajan,Incident,"Incident report: Lifting sling at workshop had expired colour code tag, removed from service. Reported during night shift."
R11-00177,2026-01-17,Moran,UC,"Unsafe condition: Vehicle parked wrongly at workshop gate, moved after advice. Supervisor informed."
R11-00178,2026-09-06,Naharkatia,UA,"Unsafe act observed: Lifting sling at drill site had expired colour code tag, removed from service."
R11-00179,2026-05-17,Baghewala (Rajasthan),UA,"Unsafe act observed: Confined space permit at compressor house filled with wrong date, corrected before entry."
R11-00180,2026-08-15,Duliajan,Incident,"Incident report: Roof of pump house at pipeline ROW accessed without fall protection, fragile sheet cracked. Crew of four involved."
R11-00181,2026-01-04,Kharsang,Incident,"Incident report: Small tool dropped from table at rig floor, landed on floor, no one nearby. Reported during morning inspection."
R11-00182,2025-10-20,Jorhat,Near Miss,"Near miss: Toolbox talk record at rig floor incomplete, corrected. Reported during night shift."
R11-00183,2026-08-26,Naharkatia,UC,"Unsafe condition: Entry log at drill site tank found untidy, updated by supervisor. Crew of four involved."
R11-00184,2025-12-17,Duliajan,Incident,"Incident report: Gas detector at wellhead calibration due next week, scheduled. Area secured."
R11-00185,2026-01-02,Duliajan,Near Miss,"Near miss: Gas detector at rig floor calibration due next week, scheduled."
R11-00186,2026-01-09,Duliajan,UC,"Unsafe condition: Lifting sling at compressor house had expired colour code tag, removed from service."
R11-00187,2025-12-05,Tinsukia,UC,"Unsafe condition: Reverse horn not working on van at CPF, fixed the same day. Reported during night shift."
R11-00188,2026-03-07,Jorhat,Near Miss,"Near miss: Grinding sparks fell close to condensate tank at oil collecting station, no fire watch, no fire blanket."
R11-00189,2025-11-06,Tinsukia,Incident,"Incident report: Minor cut on finger while opening a box at CPF, first aid given. Reported during night shift."
R11-00190,2026-01-29,Moran,UA,"Unsafe act observed: Small tool dropped from table at pipeline ROW, landed on floor, no one nearby."
R11-00191,2026-04-17,Duliajan,Incident,"Incident report: High level shutdown interlock bypassed at CPF to keep production running, no MOC and no approval; gas detector inhibited."
R11-00192,2026-09-03,Moran,Near Miss,"Near miss: Minor cut on finger while opening a box at oil collecting station, first aid given."
R11-00193,2026-04-17,Naharkatia,Near Miss,"Near miss: Stacked pipes untidy at GGS store, rearranged. Crew of four involved."
R11-00194,2026-04-05,Naharkatia,Incident,"Incident report: Permit copy at CPF not displayed at job site, displayed after reminder. Area secured."
R11-00195,2026-04-04,Duliajan,UC,"Unsafe condition: Permit copy at drill site not displayed at job site, displayed after reminder. Area secured."
R11-00196,2026-01-26,Jorhat,UA,"Unsafe act observed: Worker not wearing safety glasses while cleaning at workshop, counselled."
R11-00197,2026-06-12,Kharsang,UC,"Unsafe condition: Isolation register at compressor house missing one signature, corrected, no work had started. Reported during morning inspection."
R11-00198,2026-05-10,Duliajan,Near Miss,"Near miss: Worker not wearing safety glasses while cleaning at drill site, counselled. Area secured."
R11-00199,2026-07-02,Duliajan,UA,"Unsafe act observed: Gas detector at pipeline ROW calibration due next week, scheduled."
R11-00200,2025-12-06,Tinsukia,UA,Unsafe act observed: Fire extinguisher at welding bay oil collecting station found past inspection date; replaced. Reported during morning inspection.
R11-00201,2026-01-20,Jorhat,Incident,"Incident report: Waste bin overflowing at drill site, cleared by housekeeping. Supervisor informed."
R11-00202,2026-04-27,Duliajan,UC,Unsafe condition: Worker entered tank at GGS without confined space entry permit; oxygen level not tested and no standby person. Reported during night shift.
R11-00203,2025-12-20,Tinsukia,UC,Unsafe condition: Fire extinguisher at welding bay rig floor found past inspection date; replaced.
R11-00204,2025-11-10,Jorhat,Incident,"Incident report: Small tool dropped from table at workshop, landed on floor, no one nearby. Crew of four involved."
R11-00205,2026-04-20,Jorhat,UC,"Unsafe condition: Confined space permit at oil collecting station filled with wrong date, corrected before entry. Area secured."
R11-00206,2026-03-20,Naharkatia,Incident,"Incident report: Stacked pipes untidy at pipeline ROW store, rearranged."
R11-00207,2026-04-09,Duliajan,Incident,"Incident report: Isolation register at CPF missing one signature, corrected, no work had started. Area secured."
R11-00208,2025-10-04,Naharkatia,Near Miss,"Near miss: Confined space permit at workshop filled with wrong date, corrected before entry. Area secured."
R11-00209,2026-03-11,Naharkatia,UC,"Unsafe condition: Reverse horn not working on van at oil collecting station, fixed the same day. Supervisor informed."
R11-00210,2026-05-06,Duliajan,Near Miss,"Near miss: Ladder at oil collecting station had a loose rung, tagged out and fixed, nobody was using it. Crew of four involved."
R11-00211,2026-02-06,Naharkatia,UA,"Unsafe act observed: Crew stood under suspended pipe during rig floor handling at workshop; exclusion zone not barricaded, load swung close to worker. Reported during morning inspection."
R11-00212,2026-08-16,Naharkatia,Incident,"Incident report: Lifting sling at wellhead had expired colour code tag, removed from service."
R11-00213,2026-03-21,Duliajan,UA,"Unsafe act observed: Gas detector at drill site calibration due next week, scheduled."
R11-00214,2026-09-12,Tinsukia,UC,"Unsafe condition: Welder at workshop not wearing welding gloves, spoken to and corrected."
